Netherlands	timesinceally	USA
Netherlands	timesinceally	USSR
Netherlands	timesinceally	UK
Netherlands	timesinceally	Poland
Netherlands	timesinceally	Cuba
Netherlands	timesinceally	UK
Netherlands	timesinceally	USSR
Netherlands	timesinceally	Cuba
Netherlands	timesinceally	UK
Netherlands	timesinceally	USSR
Netherlands	timesinceally	China
USA	timesinceally	USSR
USA	timesinceally	UK
USA	timesinceally	Poland
USA	timesinceally	Cuba
USA	timesinceally	UK
USA	timesinceally	USSR
USA	timesinceally	Cuba
USA	timesinceally	UK
USA	timesinceally	USSR
USA	timesinceally	China
Poland	timesinceally	USA
Poland	timesinceally	UK
Poland	timesinceally	India
Poland	timesinceally	Netherlands
Poland	timesinceally	UK
Poland	timesinceally	Netherlands
Poland	timesinceally	USA
Poland	timesinceally	UK
Poland	timesinceally	Netherlands
Poland	timesinceally	USA
Brazil	timesinceally	USA
Brazil	timesinceally	USSR
Brazil	timesinceally	UK
Brazil	timesinceally	Poland
Brazil	timesinceally	Cuba
Brazil	timesinceally	UK
Brazil	timesinceally	USSR
Brazil	timesinceally	Cuba
Brazil	timesinceally	UK
Brazil	timesinceally	USSR
Brazil	timesinceally	China
USSR	timesinceally	USA
USSR	timesinceally	UK
USSR	timesinceally	India
USSR	timesinceally	Netherlands
USSR	timesinceally	UK
USSR	timesinceally	Netherlands
USSR	timesinceally	USA
USSR	timesinceally	UK
USSR	timesinceally	Netherlands
USSR	timesinceally	USA
China	timesinceally	USA
China	timesinceally	UK
China	timesinceally	India
China	timesinceally	Netherlands
China	timesinceally	UK
China	timesinceally	Netherlands
China	timesinceally	USA
China	timesinceally	UK
China	timesinceally	Netherlands
China	timesinceally	USA
Cuba	timesinceally	USA
Cuba	timesinceally	UK
Cuba	timesinceally	India
Cuba	timesinceally	Netherlands
Cuba	timesinceally	UK
Cuba	timesinceally	Netherlands
Cuba	timesinceally	USA
UK	timesinceally	USA
UK	timesinceally	USSR
UK	timesinceally	Poland
UK	timesinceally	Cuba
UK	timesinceally	USSR
UK	timesinceally	Cuba
UK	timesinceally	USSR
UK	timesinceally	China
